AQI,CO,CO2,Humidity,LIGHT,PM10,PM25,TVOC,Temperature,Latitude,Longitude
67.0,1.695998549,515.0,47.0,6.0,43.0,41.0,0.0,33.0,28.3654924,75.5807409
66.0,1.760998726,515.0,46.0,6.0,42.0,40.0,0.0,33.0,28.3655408,75.5807312
66.0,1.491998672,515.0,46.0,6.0,42.0,40.0,0.0,33.0,28.3655855,75.5807229
66.0,1.478998542,515.0,46.0,6.0,42.0,40.0,0.0,33.0,28.3656334,75.5807226
67.0,1.406998396,515.0,47.0,6.0,43.0,41.0,0.0,33.0,28.3656785,75.580716
69.0,1.433998346,515.0,48.0,6.0,44.0,42.0,0.0,33.0,28.3657169,75.5807091
71.0,1.210998297,518.0,47.0,6.0,45.0,43.0,0.0,33.0,28.3657447,75.580705
67.0,1.364998102,518.0,46.0,6.0,43.0,41.0,0.0,33.0,28.3657678,75.580697
64.0,1.4869982,515.0,46.0,6.0,41.0,39.0,0.0,33.0,28.3657572,75.580703
63.0,1.33199811,515.0,45.0,6.0,40.0,38.0,0.0,33.0,28.3657117,75.5807117
66.0,1.418998122,515.0,45.0,6.0,42.0,40.0,0.0,33.0,28.3656614,75.5807175
69.0,1.237998247,515.0,45.0,6.0,44.0,42.0,0.0,33.0,28.3656147,75.5807207
67.0,1.276998162,515.0,45.0,6.0,43.0,41.0,0.0,33.0,28.3655646,75.5807291
63.0,1.184997916,515.0,45.0,6.0,40.0,38.0,0.0,33.0,28.3655208,75.5807323
63.0,1.499997854,515.0,46.0,6.0,40.0,38.0,0.0,33.0,28.3654755,75.5807375
63.0,1.942997694,515.0,45.0,6.0,39.0,37.0,0.0,33.0,28.3654313,75.5807585
63.0,1.8519977330000001,515.0,46.0,6.0,38.0,36.0,0.0,33.0,28.3653831,75.5807615
63.0,1.542998075,515.0,46.0,6.0,40.0,38.0,0.0,98.0,28.36534,75.5807728
67.0,0.967998028,515.0,45.0,6.0,43.0,41.0,0.0,33.0,28.3652883,75.5807768
67.0,1.032997966,515.0,45.0,6.0,43.0,41.0,0.0,33.0,28.3652368,75.5807866
66.0,1.552997828,515.0,46.0,6.0,42.0,40.0,0.0,33.0,28.3651943,75.5808093
64.0,1.513997555,516.0,47.0,6.0,41.0,39.0,0.0,33.0,28.3651827,75.5808616
63.0,1.10299778,519.0,48.0,6.0,40.0,38.0,0.0,33.0,28.3651782,75.580915
63.0,1.020997763,521.0,49.0,6.0,40.0,38.0,0.0,33.0,28.365156,75.5809456
63.0,1.283997774,521.0,49.0,6.0,40.0,38.0,0.0,33.0,28.365152,75.580998
63.0,1.332997561,520.0,48.0,6.0,40.0,38.0,0.0,33.0,28.3651437,75.5810478
64.0,1.229997635,519.0,47.0,6.0,41.0,39.0,0.0,33.0,28.3651386,75.5811004
64.0,1.717997909,517.0,46.0,6.0,41.0,39.0,0.0,33.0,28.3651334,75.5811531
64.0,2.02099824,519.0,46.0,6.0,41.0,39.0,0.0,33.0,28.3651241,75.5812062
64.0,1.825998306,518.0,47.0,6.0,41.0,39.0,0.0,33.0,28.3651192,75.581258
66.0,1.522998452,515.0,48.0,6.0,42.0,40.0,0.0,33.0,28.36512,75.5813094
66.0,1.392998457,515.0,47.0,6.0,42.0,40.0,0.0,33.0,28.3651141,75.581355
66.0,1.798998475,515.0,47.0,6.0,42.0,40.0,0.0,33.0,28.3651062,75.5814085
66.0,1.617998123,515.0,46.0,6.0,42.0,40.0,0.0,33.0,28.3651028,75.5814619
67.0,1.100998044,515.0,46.0,6.0,43.0,41.0,0.0,33.0,28.3650961,75.5815188
71.0,1.068997979,515.0,47.0,6.0,45.0,43.0,0.0,33.0,28.3650928,75.5815772
69.0,1.187998056,515.0,46.0,6.0,44.0,42.0,0.0,33.0,28.3650925,75.5816311
64.0,1.340998292,515.0,46.0,6.0,41.0,39.0,0.0,33.0,28.3650844,75.5816848
63.0,1.358998299,515.0,47.0,6.0,40.0,38.0,0.0,33.0,28.3650776,75.5817322
67.0,1.37199831,518.0,46.0,6.0,43.0,41.0,0.0,33.0,28.3650676,75.581783
69.0,1.388998389,519.0,46.0,6.0,44.0,42.0,0.0,33.0,28.3650648,75.5818272
64.0,1.562998295,517.0,45.0,6.0,41.0,39.0,0.0,33.0,28.3650594,75.5818495
